city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Şişli,41.05798545,28.9930665,3,1,2.0,2.0,2.0,4.67,2098.0,1,0,0,0,34360,54.677
,41.03523,28.9926,1,1,1.0,1.0,1.0,4.89,1404.0,0,0,1,0,34427.0,
Beyoğlu,41.034,28.99,4,3,2.0,0.0,1.0,4.54,2086.0,1,0,0,0,34421,60.000
Beyoğlu,41.03683274,28.97500357,2,3,1.0,1.0,1.0,4.86,1400.0,1,0,0,0,34421,60.000
Şişli,41.0534,28.99356,4,2,1.0,0.0,1.0,4.63,2041.0,1,0,0,0,34360,54.677
Beyoğlu,41.029,28.98,6,2,1.0,1.0,1.0,4.64,2093.0,1,0,0,0,34421,60.000
Kartal,40.88525,29.206,3,28,1.0,0.0,1.0,4.75,2100.0,1,0,0,0,34862,43.030
Beyoğlu,41.03202,28.97079,2,25,1.0,1.0,1.0,4.73,1403.0,1,0,0,0,34421,60.000
Beylikdüzü,41.00577065,28.66586655,3,1,1.0,1.0,1.0,4.53,1475.0,1,0,0,0,34520,29.950
Beyoğlu,41.02586847,28.97243704,2,2,1.0,1.0,1.0,4.38,1060.0,1,0,0,0,34421,60.000
Esenyurt,41.024,28.66,4,2,1.0,1.0,1.0,5.0,1485.0,1,0,0,0,34517,21.250
Kadıköy,40.993,29.027,3,3,2.0,2.0,1.0,4.96,1465.0,1,0,0,0,34744,88.888
Kâğıthane,41.08393,29.00381,4,4,1.0,1.0,1.0,4.6,1100.0,1,0,0,0,34413.0,
Kadıköy,40.992,29.029,3,1,1.0,0.0,1.0,4.91,1445.0,1,0,0,0,34744,88.888
Beyoğlu,41.02764,28.97245,6,1,1.0,2.0,1.0,4.83,1440.0,1,0,0,0,34421,60.000
Fatih,41.01845,28.93065,3,2,1.0,0.0,1.0,5.0,1445.0,1,0,0,0,34096,32.000
Beyoğlu,41.0281,28.97661,2,1,1.0,1.0,1.0,4.43,1037.0,1,0,0,0,34421,60.000
Beyoğlu,41.03739,28.98281,2,5,1.0,2.0,1.0,4.64,1082.0,1,0,0,0,34421,60.000
Pendik,40.917,29.30802,2,1,1.0,1.0,1.0,5.0,1750.0,1,0,0,0,34893,35.386
Beylikdüzü Osb,41.031,28.681,3,4,1.0,1.0,1.0,5.0,1465.0,1,0,0,0,34513.0,
Şişli,41.057,28.984,4,30,2.0,2.0,1.0,4.88,1750.0,1,0,0,0,34360,54.677
Beyoğlu,41.03437308,28.97412603,4,2,1.0,0.0,1.0,4.54,1800.0,1,0,0,0,34421,60.000
Şişli,41.05321707,28.99363165,5,1,2.0,3.0,1.0,4.67,1442.0,1,0,0,0,34360,54.677
Beyoğlu,41.03898808,28.98111254,2,2,1.0,1.0,1.0,4.77,1064.0,1,0,0,0,34421,60.000
İstanbul,41.036,28.991,3,2,1.0,0.0,1.0,4.58,1465.0,1,0,0,0,34427.0,
Şişli,41.055,28.978,6,100,2.0,3.0,1.0,5.0,1863.0,1,0,0,0,34360,54.677
Fatih,41.006,28.955,2,1,1.0,1.0,1.0,4.71,1046.0,1,0,0,0,34096,32.000
Şişli,41.05813,28.98555,2,1,1.0,1.0,1.0,4.69,1770.0,1,0,0,0,34360,54.677
Kadıköy,40.98683217,29.02657194,4,1,2.0,2.0,1.0,4.6,1475.0,1,0,0,0,34744,88.888
Bağcılar,41.04321,28.81196,3,30,1.0,2.0,1.0,4.43,1830.0,1,0,0,0,34200,35.313
İstanbul,41.03404,28.98669,2,1,1.0,1.0,1.0,4.8,1075.0,1,0,0,0,34433.0,
Kadıköy,40.99668,29.02936,2,1,1.0,1.0,1.0,4.33,1869.0,1,0,0,0,34744,88.888
Beyoğlu,41.03722,28.97531,3,1,1.0,2.0,1.0,4.37,1812.0,1,0,0,0,34421,60.000
Şişli,41.04887,28.98896,2,7,1.0,1.0,1.0,4.83,1445.0,1,0,0,0,34360,54.677
Beyoğlu,41.02895,28.97973,2,1,1.0,1.0,1.0,4.32,1765.0,0,0,1,0,34421,60.000
Beyoğlu,41.036,28.977,2,101,1.0,1.0,1.0,4.58,1064.0,1,0,0,0,34421,60.000
Fatih,41.03,28.951,3,2,1.0,2.0,1.0,4.57,1844.0,0,0,1,0,34096,32.000
Beyoğlu,41.03449,28.98441,2,1,,1.0,1.0,4.64,1066.0,0,0,1,0,34421,60.000
Beşiktaş,41.04917,29.02481,3,2,1.0,1.0,1.0,4.27,1789.0,1,0,0,0,34353,88.235
Beyoğlu,41.027,28.974,2,1,1.0,1.0,1.0,4.59,1078.0,1,0,0,0,34421,60.000
Beşiktaş,41.045,29.002,5,3,2.0,3.0,1.0,4.91,1843.0,1,0,0,0,34353,88.235
Fatih,41.004,28.966,2,2,,2.0,1.0,4.81,1061.0,1,0,0,0,34096,32.000
Kâğıthane,41.08184,28.98247,4,1,1.0,2.0,1.0,4.81,1872.0,1,0,0,0,34403.0,
Fatih,41.00664706,28.95421602,2,2,1.0,1.0,1.0,4.72,1014.0,1,0,0,0,34096,32.000
Ataşehir,40.993,29.084,4,2,1.0,1.0,1.0,5.0,1857.0,1,0,0,0,34758,48.888
Fatih,41.008,28.9571,2,2,1.0,1.0,1.0,4.58,1055.0,1,0,0,0,34096,32.000
Beşiktaş,41.08905,29.03226,2,1,1.0,1.0,1.0,4.62,1878.0,1,0,0,0,34353,88.235
Beyoğlu,41.03,28.982,2,2,1.0,1.0,1.0,5.0,1399.0,1,0,0,0,34421,60.000
Beyoğlu,41.027,28.978,4,1,1.0,1.0,1.0,4.66,1878.0,1,0,0,0,34421,60.000
Beyoglu Istanbul,41.034,28.983,2,3,,1.0,1.0,4.56,1106.0,1,0,0,0,34433.0,
Şişli,41.05091,28.98164,4,1,2.0,2.0,2.0,4.74,1410.0,1,0,0,0,34360,54.677
Beyoğlu,41.034,28.987,2,4,1.0,1.0,1.0,4.34,1412.0,1,0,0,0,34421,60.000
Şişli,41.059,28.985,2,6,1.0,1.0,1.0,5.0,1400.0,1,0,0,0,34360,54.677
Fatih,41.00586,28.96886,2,2,,0.0,1.0,4.55,1061.0,0,0,1,0,34096,32.000
Beyoğlu,41.02475715,28.97480623,2,2,1.0,0.0,1.0,4.64,1863.0,1,0,0,0,34421,60.000
Beyoğlu,41.03066,28.98574,3,1,1.0,1.0,1.0,4.67,1780.0,1,0,0,0,34421,60.000
Beyoğlu,41.035,28.982,4,2,1.0,0.0,1.0,4.67,1766.0,1,0,0,0,34421,60.000
Kadıköy,40.993,29.027,3,2,1.0,1.0,1.0,4.63,1766.0,1,0,0,0,34744,88.888
Kadıköy,40.98679,29.02996,2,1,1.0,1.0,1.0,4.32,1422.0,1,0,0,0,34744,88.888
Kadıköy,40.98875,29.03212,3,1,1.0,1.0,1.0,4.73,1866.0,1,0,0,0,34744,88.888
Beyoğlu,41.03,28.981,3,3,1.0,2.0,1.0,4.59,2093.0,1,0,0,0,34421,60.000
Beyoğlu,41.03442,28.97416,4,2,1.0,2.0,1.0,4.53,1399.0,1,0,0,0,34421,60.000
İstanbul,41.03436,28.99061,6,4,2.0,2.0,2.0,4.72,1794.0,1,0,0,0,34427.0,
Kadıköy,40.99533989,29.05023583,6,28,2.0,2.0,2.0,4.75,2100.0,1,0,0,0,34744,88.888
Küçükçekmece,41.05,28.759,2,7,1.0,2.0,1.0,4.67,1400.0,1,0,0,0,34307,34.347
Kadıköy,40.99493,29.02864,5,1,2.0,2.0,1.0,4.5,1410.0,1,0,0,0,34744,88.888
Beyoğlu,41.02731611,28.97727146,3,1,1.0,0.0,1.0,4.68,1835.0,1,0,0,0,34421,60.000
Beyoğlu,41.027,28.976,2,2,1.0,1.0,1.0,4.65,2096.0,1,0,0,0,34421,60.000
Üsküdar,41.025,29.014,3,2,1.0,1.0,1.0,4.88,2058.0,0,0,1,0,34660,61.428 
Beyoğlu,41.029,28.973,2,2,1.0,0.0,1.0,4.5,2093.0,1,0,0,0,34421,60.000
Istanbul,41.03208,28.98757,3,2,1.0,2.0,1.0,4.83,2302.0,1,0,0,0,34427.0,
Beyoğlu,41.02962169,28.97157371,4,2,2.0,2.0,1.0,4.73,2078.0,1,0,0,0,34421,60.000
Beyoğlu,41.03623,28.98115,4,2,1.0,1.0,1.0,4.79,2093.0,1,0,0,0,34421,60.000
Beyoğlu,41.02864,28.97779,3,14,,2.0,1.0,4.89,2093.0,1,0,0,0,34421,60.000
